Name,depth,IC
CPT-A0,-6.4233,3.597247691158122
CPT-A0,-6.4433,3.5903831023854926
CPT-A0,-6.4633,3.5947727315309947
CPT-A0,-6.4833,3.6146750510589762
CPT-A0,-6.5033,3.646089461517046
CPT-A0,-6.5233,3.630541587906025
CPT-A0,-6.5433,3.658173571165642
CPT-A0,-6.5633,3.645484126192888
CPT-A0,-6.5832999999999995,3.653041465320583
CPT-A0,-6.6033,3.6808731520691595
CPT-A0,-6.6232999999999995,3.6885538244503255
CPT-A0,-6.6433,3.6674505069297845
CPT-A0,-6.6633,3.6581202706476486
CPT-A0,-6.6833,3.6798338597657567
CPT-A0,-6.7033,3.626645833064184
CPT-A0,-6.7233,3.5287706983093017
CPT-A0,-6.7433,3.4611725858651154
CPT-A0,-6.7633,3.44668330222891
CPT-A0,-6.7833,3.4151335242502827
CPT-A0,-6.8033,3.369380953500623
CPT-A0,-6.8233,3.2988260627374806
CPT-A0,-6.8433,3.3324615530578563
CPT-A0,-6.8633,3.4948068121648985
CPT-A0,-6.8833,3.5919767683996278
CPT-A0,-6.9033,3.6474209221676954
CPT-A0,-6.9233,3.683233603214623
CPT-A0,-6.9433,3.6711496686028533
CPT-A0,-6.9633,3.5788537567732486
CPT-A0,-6.9833,3.489987297841222
CPT-A0,-7.0033,3.4671996406079946
CPT-A0,-7.0233,3.453801799754084
CPT-A0,-7.0433,3.488794116221683
CPT-A0,-7.0633,3.5780873005765215
CPT-A0,-7.0832999999999995,3.6264502548252278
CPT-A0,-7.1033,3.635638516425064
CPT-A0,-7.1232999999999995,3.58132075213832
CPT-A0,-7.1433,3.566959175428085
CPT-A0,-7.1633,3.560393410250018
CPT-A0,-7.1833,3.570830941322707
CPT-A0,-7.2033,3.5858600026820704
CPT-A0,-7.2233,3.5655012721402475
CPT-A0,-7.2433,3.6412223295374417
CPT-A0,-7.2633,3.6536419866226617
CPT-A0,-7.2833,3.647481040321175
CPT-A0,-7.3033,3.5540565902659527
CPT-A0,-7.3233,3.555159662632114
CPT-A0,-7.3433,3.6294728068617736
CPT-A0,-7.3633,3.5902901582792417
CPT-A0,-7.3833,3.576581509226087
CPT-A0,-7.4033,3.5549794836643556
CPT-A0,-7.4233,3.509051003390007
CPT-A0,-7.4433,3.4813515399512784
CPT-A0,-7.4633,3.476585624275341
CPT-A0,-7.4833,3.499042313190885
CPT-A0,-7.5033,3.560625055419257
CPT-A0,-7.5233,3.6148762920886237
CPT-A0,-7.5433,3.6356227451479315
CPT-A0,-7.5633,3.644025129583523
CPT-A0,-7.5832999999999995,3.664487313075721
CPT-A0,-7.6033,3.70198299345498
CPT-A0,-7.6232999999999995,3.6949693060390896
CPT-A0,-7.6433,3.682733453268827
CPT-A0,-7.6633,3.681509224725202
CPT-A0,-7.6833,3.667811340172675
CPT-A0,-7.7033,3.648501987346577
CPT-A0,-7.7233,3.6233734165870004
CPT-A0,-7.7433,3.5957560961797728
CPT-A0,-7.7633,3.5851915239150376
CPT-A0,-7.7833,3.594723697127467
CPT-A0,-7.8033,3.6460520337564795
CPT-A0,-7.8233,3.6847740117427263
CPT-A0,-7.8433,3.722600956882613
CPT-A0,-7.8633,3.734352508879794
CPT-A0,-7.8833,3.7517923360703938
CPT-A0,-7.9033,3.77015774677887
CPT-A0,-7.9233,3.7474539594375167
CPT-A0,-7.9433,3.726478800336755
CPT-A0,-7.9633,3.733964555079631
CPT-A0,-7.9833,3.732817676668645
CPT-A0,-8.003300000000001,3.7288061522549856
CPT-A0,-8.0233,3.722010372273483
CPT-A0,-8.0433,3.7015658836334104
CPT-A0,-8.0633,3.704204279943401
CPT-A0,-8.0833,3.705868582323926
CPT-A0,-8.1033,3.7022524704821835
CPT-A0,-8.1233,3.7092231198814387
